index,Country/Region,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered,Deaths_/_100_Cases,Recovered_/_100_Cases,Deaths_/_100_Recovered,Confirmed_last_week,1_week_change,1_week_%_increase,Total_Cases,Total_Recovered,Death_Rate,Total_death
88,Jordan,11.0,1041,124,8.0,0.0,0,0.94,88.52,1.06,1223,-47,-3.84,1184.0,1041,1.0,11.0
89,Kazakhstan,585.0,54404,29659,1526.0,0.0,1833,0.69,64.27,1.08,73468,11180,15.22,88007.0,56237,1.0,585.0
90,Kenya,285.0,7833,9857,372.0,5.0,90,1.59,43.58,3.64,13771,4204,30.53,18442.0,7923,2.0,290.0
91,Kosovo,185.0,4027,3201,496.0,16.0,274,2.5,54.32,4.59,5877,1536,26.14,8199.0,4301,2.0,201.0
92,Kuwait,438.0,55057,8884,606.0,5.0,684,0.68,85.52,0.8,59763,4616,7.72,65674.0,55741,1.0,443.0
93,Kyrgyzstan,1301.0,21205,10790,483.0,24.0,817,3.91,63.69,6.14,27143,6153,22.67,34620.0,22022,4.0,1325.0
94,Laos,0.0,19,1,0.0,0.0,0,0.0,95.0,0.0,19,1,5.26,20.0,19,0.0,0.0
95,Latvia,31.0,1045,143,1282.7401129943503,30.401129943502823,0,2.54,85.73,2.97,1192,27,2.27,2532.141242937853,1045,2.0,61.40112994350282
96,Lebanon,51.0,1709,2122,132.0,0.0,17,1.31,44.02,2.98,2905,977,33.63,4031.0,1726,1.0,51.0
97,Lesotho,12.0,128,365,0.0,0.0,0,2.38,25.35,9.38,359,146,40.67,505.0,128,2.0,12.0
98,Liberia,72.0,646,449,5.0,0.0,5,6.17,55.36,11.15,1107,60,5.42,1177.0,651,6.0,72.0
99,Libya,64.0,577,2186,158.0,4.0,24,2.26,20.41,11.09,1980,847,42.78,3013.0,601,2.0,68.0
100,Liechtenstein,1.0,81,4,0.0,0.0,0,1.16,94.19,1.23,86,0,0.0,86.0,81,1.0,1.0
101,Lithuania,80.0,1620,319,11.0,0.0,4,3.96,80.24,4.94,1947,72,3.7,2034.0,1624,4.0,80.0
102,Luxembourg,112.0,4825,1384,49.0,0.0,178,1.77,76.33,2.32,5639,682,12.09,6548.0,5003,2.0,112.0
103,Madagascar,91.0,6260,3339,395.0,6.0,681,0.94,64.6,1.45,7153,2537,35.47,10772.0,6941,1.0,97.0
104,Malawi,99.0,1645,1920,24.0,0.0,6,2.7,44.9,6.02,2992,672,22.46,3694.0,1651,3.0,99.0
105,Malaysia,124.0,8601,179,7.0,0.0,1,1.39,96.6,1.44,8800,104,1.18,8912.0,8602,1.0,124.0
106,Maldives,15.0,2547,807,67.0,0.0,19,0.45,75.6,0.59,2999,370,12.34,3455.0,2566,0.0,15.0
107,Mali,124.0,1913,476,3.0,1.0,2,4.93,76.12,6.48,2475,38,1.54,2519.0,1915,5.0,125.0
108,Malta,9.0,665,27,1.0,0.0,0,1.28,94.86,1.35,677,24,3.55,702.0,665,1.0,9.0
109,Mauritania,156.0,4653,1399,37.0,0.0,223,2.51,74.95,3.35,5923,285,4.81,6468.0,4876,2.0,156.0
110,Mauritius,10.0,332,2,0.0,0.0,0,2.91,96.51,3.01,343,1,0.29,344.0,332,3.0,10.0
111,Mexico,44022.0,303810,47657,4973.0,342.0,8588,11.13,76.82,14.49,349396,46093,13.19,409392.0,312398,11.0,44364.0
112,Moldova,748.0,16154,6252,1282.7401129943503,30.401129943502823,245,3.23,69.77,4.63,21115,2039,9.66,24712.141242937854,16399,3.0,778.4011299435028
113,Monaco,4.0,104,8,0.0,0.0,0,3.45,89.66,3.85,109,7,6.42,116.0,104,3.0,4.0
114,Mongolia,0.0,222,67,1.0,0.0,4,0.0,76.82,0.0,287,2,0.7,294.0,226,0.0,0.0
115,Montenegro,45.0,809,2039,94.0,2.0,70,1.56,27.96,5.56,2188,705,32.22,3059.0,879,2.0,47.0
116,Morocco,316.0,16553,4018,609.0,3.0,115,1.51,79.25,1.91,17562,3325,18.93,21614.0,16668,1.0,319.0
